title,product_img_url,in_stock,alcoholPercentage,price
Hapkin - 8L BLADE Keg,https://www.beerwulf.com/globalassets/hapkin---blade-keg_beer_20561_0.png,True,8.3,£ 45.99
Tiger - 8L BLADE Keg,https://www.beerwulf.com/globalassets/tiger---blade-keg_beer_22201_0.png,True,4.7,£ 36.99
Puntigamer - 8L BLADE Keg,https://www.beerwulf.com/globalassets/puntigamer---blade-keg_beer_22318_02.png,True,5.1,£ 37.99
Alfa - 8L BLADE Keg,https://www.beerwulf.com/globalassets/alfa---8l-blade-keg_beer_23909_0.png,True,5.0,£ 38.99
La Cristal IPA du Mont Blanc - 2L SUB Keg,https://www.beerwulf.com/globalassets/la-cristal-ipa-du-mont-blanc-v2_beer_24034_0.png,True,4.7,£ 16.99
Strongbow Dark Fruit - 8L BLADE Keg,https://www.beerwulf.com/globalassets/strongbow-dark-fruits-8l-keg_beer_24297_03.png,True,4.0,£ 35.99
Paulaner Oktoberfest - 2L SUB Keg,https://www.beerwulf.com/globalassets/paulaner-munchen-oktoberfest-bier--2l-sub-keg_beer_24568_0.png,True,6.0,£ 13.49
Desperados Value Case,https://www.beerwulf.com/globalassets/desperados-voordeelverpakking_1_0.png,True,,£ 45.99
Lagunitas Daytime Value Case,https://www.beerwulf.com/globalassets/lagunitas-daytime-value-pack_1_0.png,True,,£ 51.99
Beerwulf Home Draught Kit,https://www.beerwulf.com/globalassets/beerwulf-home-draught-kit_pack_22783_03.png,True,,£ 33.99
Abbey and Trappist Beer Case,https://www.beerwulf.com/globalassets/trappist--abbey-_pack_24698_0.png,True,,£ 47.99
The Birra Moretti BLADE Tap Handle,https://www.beerwulf.com/globalassets/birra-moretti-blade-taphandle_accessories_24396_03.png,True,,£ 29.99
The Puntigamer BLADE Tap Handle,https://www.beerwulf.com/globalassets/puntigamer-blade-taphandle_accessories_24410_03.png,True,,£ 29.99
Pelforth Blonde - 2L SUB Keg,https://www.beerwulf.com/globalassets/pelforth-blonde---2l-keg_2_02.png,True,5.8,£ 10.99
Edelweiss Hefetrüb - 2L SUB Keg,https://www.beerwulf.com/globalassets/edelweiss---2l-keg_1_03.png,True,5.3,£ 11.29
Birra Moretti Baffo d'Oro - 2L SUB Keg,https://www.beerwulf.com/globalassets/birra-moretti-baffo-doro-2l-keg_1_0.png,True,4.8,£ 11.29
Cruzcampo Gran Reserva - 2L SUB Keg,https://www.beerwulf.com/globalassets/cruzcampo-gran-reserva-2l-keg_1_1.png,True,6.4,£ 11.99
Heineken - 5L Draught Keg,https://www.beerwulf.com/globalassets/heineken-5l-keg_1_04.png,True,5.0,£ 23.99
Pelforth Blonde - 5L Draught Keg,https://www.beerwulf.com/globalassets/pelforth-blonde-5l-keg_1_3.png,True,5.8,£ 24.99
Heineken 0.0 - 8L BLADE Keg,https://www.beerwulf.com/globalassets/heineken-0.0-blade-8l-keg_1_1.png,True,0.0,£ 24.99
Strongbow Dark Fruit - 2L SUB Keg,https://www.beerwulf.com/globalassets/strongbow-dark-fruit_2_1.png,True,4.0,£ 9.99
Birra Moretti La Rossa - 2L SUB Keg,https://www.beerwulf.com/globalassets/birra-moretti-la-rossatorp2_14820_0.png,True,7.2,£ 11.99
Brand Weizen - 2L SUB Keg,https://www.beerwulf.com/globalassets/brand-weizen-sub-kegtorp2_15420_0.png,True,5.1,£ 10.99
Affligem Fris Blond 4.6 - 2L SUB Keg,https://www.beerwulf.com/globalassets/affligem-fris-blond-sub-kegtorp2_15422_0.png,True,4.6,£ 11.29
Edelweiss Hefetrüb - 8L BLADE Keg,https://www.beerwulf.com/globalassets/edelweiss-hefetrub----blade-keg_beer_15788_0.jpeg,True,5.3,£ 38.99
Apfel Räuber - 8L BLADE Keg,https://www.beerwulf.com/globalassets/apfel-rauber---blade-keg_beer_15808_0.png,True,4.5,£ 35.99
Gösser Märzen - 8L BLADE Keg,https://www.beerwulf.com/globalassets/gosser-marzen---blade-keg_beer_22315_05.png,True,5.2,£ 37.99
Gösser Zwickl - 8L BLADE Keg,https://www.beerwulf.com/globalassets/gosser-zwickl---blade-keg_beer_22668_0.png,True,5.2,£ 37.99
Wiener Lager - 8L BLADE Keg,https://www.beerwulf.com/globalassets/wiener-lager---blade-keg_beer_22667_03.png,True,5.5,£ 37.99
Paulaner Münchner Hell - 5L Draught Keg,https://www.beerwulf.com/globalassets/paulaner-munchner-hell---draught-keg_beer_23349_0.png,True,4.9,£ 29.99
Affligem Blanche - 5L Draught Keg,https://www.beerwulf.com/globalassets/affligem-blanche-draught-keg_beer_23393_02.png,True,4.8,£ 25.99
Edelweiss Wheat - 8L BLADE Keg,https://www.beerwulf.com/globalassets/edelweiss-wheat_beer_23557_02.png,True,4.9,£ 38.99
Brixton Reliance - 8L BLADE Keg,https://www.beerwulf.com/globalassets/brixton-reliance-blade-keg_beer_23851_03.png,True,4.2,£ 39.99
Paulaner Weissbier - 2L SUB Keg,https://www.beerwulf.com/globalassets/-paulaner-weissbier---sub-keg-v2_beer_24035_0.png,True,5.5,£ 13.99
Affligem Tripel - 2L SUB Keg,https://www.beerwulf.com/globalassets/affligem-tripel---sub-keg-v2_beer_24048_0.png,True,8.5,£ 13.99
Fruh Kölsch - 2L SUB Keg,https://www.beerwulf.com/globalassets/fruh-kolsch---2l-sub-keg_beer_24139_02.png,True,4.8,£ 13.99
Orchard Thieves - 8L BLADE Keg,https://www.beerwulf.com/globalassets/orchard-thieves-8l-blade-keg_beer_24431_03.png,True,4.5,£ 35.99
Birra Moretti La Rossa - 8L BLADE Keg,https://www.beerwulf.com/globalassets/birra-moretti-la-rossa---8l-blade-keg_beer_24879_02.png,True,7.2,£ 39.99
Sol Value Case,https://www.beerwulf.com/globalassets/4.-products/packs/value-packs/sol_box.png,True,,£ 41.99
Beerwulf Beer Glass and Opener Kit,https://www.beerwulf.com/globalassets/beerwulf-bottle-kit_pack_22786_06.png,True,,£ 30.99
The Heineken Skimming Kit,https://www.beerwulf.com/globalassets/heineken-skimmer-kit_pack_23122_0.png,True,,£ 25.99
Heineken Silver Value Case,https://www.beerwulf.com/globalassets/heineken-silver-case_pack_24398_0.png,True,,£ 26.99
Alcohol Free Beer Case,https://www.beerwulf.com/globalassets/alcohol-free-pack_pack_24733_0.png,True,,£ 40.99
The SUB Classic,https://www.beerwulf.com/globalassets/the-sub-black-edition_1_0.png,True,0.0,£ 169
The Heineken BLADE Tap Handle,https://www.beerwulf.com/globalassets/heineken-blade-taphandle-_accessories_24394_03.png,True,,£ 29.99
The Tiger BLADE Tap Handle,https://www.beerwulf.com/globalassets/tiger-blade-taphandle_accessories_24402_03.png,True,,£ 29.99
The Zipfer BLADE Tap Handle,https://www.beerwulf.com/globalassets/zipfer-blade-taphandle_accessories_24404_03.png,True,,£ 29.99
The Messina BLADE Tap Handle,https://www.beerwulf.com/globalassets/messina-blade-taphandle_accessories_24406_03.png,True,,£ 29.99
The Heineken BLADE Sticker,https://www.beerwulf.com/globalassets/heineken-blade-sleeve_accessories_24412_03.png,True,,£ 19.99
Birra Moretti L'Autentica - 8L BLADE Keg,https://www.beerwulf.com/globalassets/birra-moretti-ricetta-originale-blade-8l-keg_1_05.png,True,4.6,£ 36.99
BLADE Heineken Starter Pack,https://www.beerwulf.com/globalassets/blade-2xheineken-8l-keg_04.png,True,,£ 499
Amstel -  2L SUB Keg,https://www.beerwulf.com/globalassets/amstel-torp----2l-keg_1_02.png,True,5.0,£ 9.59
Desperados - 2L SUB Keg,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/torps/full-sleeves-without-label/desperados_bw_clear.png,True,5.9,£ 11.99
