full_name,age,photoURL,player_team,games_played
LiamRyan,26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004364.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,17.0
OscarAllen,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004385.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,0.0
JacobWehr,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004530.png?i10c=img.resize(scale_height:0.6),GWS Giants,10.0
TimEnglish,25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004592.png?i10c=img.resize(scale_height:0.6),Western Bulldogs,16.0
BeauMcCreery,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004757.png?i10c=img.resize(scale_height:0.6),Collingwood,22.0
JedMcEntee,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004819.png?i10c=img.resize(scale_height:0.6),Port Adelaide,9.0
DylanStephens,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004848.png?i10c=img.resize(scale_height:0.6),Sydney Swans,15.0
LukeValente,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004850.png?i10c=img.resize(scale_height:0.6),Fremantle,0.0
MitchellHinge,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004863.png?i10c=img.resize(scale_height:0.6),Adelaide Crows,17.0
ZachGuthrie,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004870.png?i10c=img.resize(scale_height:0.6),Geelong Cats,21.0
BenRonke,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004880.png?i10c=img.resize(scale_height:0.6),Sydney Swans,8.0
AidenBonar,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004894.png?i10c=img.resize(scale_height:0.6),North Melbourne,10.0
LachieYoung,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004909.png?i10c=img.resize(scale_height:0.6),North Melbourne,20.0
TomDe Koning,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004912.png?i10c=img.resize(scale_height:0.6),Carlton,19.0
GryanMiers,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004938.png?i10c=img.resize(scale_height:0.6),Geelong Cats,22.0
SamSimpson,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004940.png?i10c=img.resize(scale_height:0.6),Geelong Cats,0.0
CooperStephens,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004948.png?i10c=img.resize(scale_height:0.6),Geelong Cats,7.0
TristanXerri,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004965.png?i10c=img.resize(scale_height:0.6),North Melbourne,12.0
BenPaton,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004985.png?i10c=img.resize(scale_height:0.6),St Kilda,20.0
JordonButts,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004995.png?i10c=img.resize(scale_height:0.6),Adelaide Crows,19.0
ToddMarshall,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004998.png?i10c=img.resize(scale_height:0.6),Port Adelaide,21.0
LaithamVandermeer,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005000.png?i10c=img.resize(scale_height:0.6),Western Bulldogs,10.0
NoahAnswerth,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005053.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,23.0
JoshDaicos,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005054.png?i10c=img.resize(scale_height:0.6),Collingwood,25.0
NathanMurphy,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005107.png?i10c=img.resize(scale_height:0.6),Collingwood,16.0
MassimoD'Ambrosio,19,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005144.png?i10c=img.resize(scale_height:0.6),Essendon,8.0
EmersonJeka,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005150.png?i10c=img.resize(scale_height:0.6),Hawthorn,3.0
ElliottHimmelberg,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005199.png?i10c=img.resize(scale_height:0.6),Adelaide Crows,11.0
SamTaylor,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005247.png?i10c=img.resize(scale_height:0.6),GWS Giants,22.0
JacksonMead,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005326.png?i10c=img.resize(scale_height:0.6),Port Adelaide,11.0
